;;;;;;;;;;
;;Лист;;;;;Круг;;Метизы;
поз;имя чертежа;размер дет. (лист);колич дет.;вес 1 дет.;имя дет.;толщ-диам;размер дет. из круга;колич дет. круг;метизы;колич метизов
1;010.ОПХ-32.000;333x200x4;1;2,08;Скоба;4;;;;
2;010.ОПХ-32.000;250x40x4;1;0,31;Полухомут;4;;;;
3;010.ОПХ-32.000;;;0,036;Болт;—;;;Болт М10х40 ГОСТ 7798-70;4
4;010.ОПХ-32.000;;;0,012;Гайка;—;;;Гайка М10 ГОСТ 5915-70;8

1;010.ОПХ-40.000;333x200x4;1;2,08;Скоба;4;;;;
2;010.ОПХ-40.000;250x40x4;1;0,31;Полухомут;4;;;;
3;010.ОПХ-40.000;;;0,036;Болт;—;;;Болт М10х40 ГОСТ 7798-70;4
4;010.ОПХ-40.000;;;0,012;Гайка;—;;;Гайка М10 ГОСТ 5915-70;8

1;010.ОПХ-50.000;375x200x4;1;2,34;Скоба;4;;;;
2;010.ОПХ-50.000;296x40x4;1;0,36;Полухомут;4;;;;
3;010.ОПХ-50.000;;;0,036;Болт;—;;;Болт М10х40 ГОСТ 7798-70;4
4;010.ОПХ-50.000;;;0,012;Гайка;—;;;Гайка М10 ГОСТ 5915-70;8

1;2-25-4 АТК 26-18-5-93;65x13;1;0,23;Кольцо;13;;;;
2;2-25-4 АТК 26-18-5-93;Ø100x24;2;0,04;Перемычка;100;;;;
3;2-25-4 АТК 26-18-5-93;Ø60x15;1;0,29;Заглушка;60;;;;

1;2-50-4 АТК 26-18-5-93;85x16;1;0,53;Кольцо;16;;;;
2;2-50-4 АТК 26-18-5-93;Ø130x17;2;0,02;Перемычка;130;;;;
3;2-50-4 АТК 26-18-5-93;Ø100x15;1;0,75;Заглушка;100;;;;

1;21029.05.000СБ;1150x1050x20;1;188,37;Плита;20;;;;
2;21029.05.000СБ;1100x700x20;1;120,12;Основание опоры;20;;;;
3;21029.05.000СБ;1100x618x20;2;81,6;Стенка;20;;;;
4;21029.05.000СБ;577x560x20;2;50,41;Стенка;20;;;;
5;21029.05.000СБ;1342x700x20;1;146,55;Подушка;20;;;;
6;21029.05.000СБ;d10x1150;2;0,71;Пруток;10;;;;
7;21029.05.000СБ;d10x58;2;0,04;Пруток;10;;;;
8;21029.05.000СБ;d20x1130;12;2,77;Пруток;20;;;;
9;21029.05.000СБ;d10x78;16;0,05;Пруток;10;;;;
10;21029.05.000СБ;d10x1030;2;0,63;Пруток;10;;;;
11;21029.05.000СБ;d10x28;6;0,02;Пруток;10;;;;

1;4508-АТК ОРГ1-57;350x200x10;1;5,45;Плита опорная;10;;;;
2;4508-АТК ОРГ1-57;70x10x8;4;0,04;Платик;8;;;;
3;4508-АТК ОРГ1-57;ШВ12x80;2;0,74;Швеллер;80;;;;
4;4508-АТК ОРГ1-57;106x42x6;1;0,19;Ребро;6;;;;
5;4508-АТК ОРГ1-57;140x83x6;2;0,54;Пластина;6;;;;
6;4508-АТК ОРГ1-57;150x75x5;2;0,44;Пластина;5;;;;
7;4508-АТК ОРГ1-57;45x16x5;6;0,04;Ребро;5;;;;
8;4508-АТК ОРГ1-57;150x77x6;1;0,54;Подушка;6;;;;
9;4508-АТК ОРГ1-57;190x80x4;1;0,12;Прокладка (изол);4;;;;
10;4508-АТК ОРГ1-57;150x26x6;1;0,18;Пластина;6;;;;
11;4508-АТК ОРГ1-57;106x42x6;1;0,19;Ребро;6;;;;
12;4508-АТК ОРГ1-57;d26,8x2,8x87;1;0,14;Патрубок;26,8;;;;
13;4508-АТК ОРГ1-57;d16x350;1;0,55;Шпилька;16;;;;
14;4508-АТК ОРГ1-57;40x8x8;1;0,02;Упор;8;;;;
15;4508-АТК ОРГ1-57;;;0,037;Болт;—;;;Болт М8х80 ГОСТ 7798-70;2
16;4508-АТК ОРГ1-57;;;0,006;Гайка;—;;;Гайка М8 ГОСТ 5915-70;2
17;4508-АТК ОРГ1-57;;;0,009;Шайба;—;;;Шайба стопорная;1
18;4508-АТК ОРГ1-57;;;0,038;Гайка;—;;;Гайка М16.58 ГОСТ 5915-70;3

1;4508-АТК ОРГ2-159;350x200x10;1;5,45;Плита опорная;10;;;;
2;4508-АТК ОРГ2-159;70x10x8;4;0,04;Платик;8;;;;
3;4508-АТК ОРГ2-159;ШВ12x80;2;0,74;Швеллер;80;;;;
4;4508-АТК ОРГ2-159;105x42x6;1;0,19;Ребро;6;;;;
5;4508-АТК ОРГ2-159;140x83x6;2;0,54;Пластина;6;;;;
6;4508-АТК ОРГ2-159;140x62x6;2;0,41;Пластина;6;;;;
7;4508-АТК ОРГ2-159;d16x140;2;0,22;Пруток;16;;;;
8;4508-АТК ОРГ2-159;180x150x6;1;1,26;Подушка;6;;;;
9;4508-АТК ОРГ2-159;185x200x4;1;0,14;Прокладка (фторопласт);4;;;;
10;4508-АТК ОРГ2-159;105x42x6;1;0,19;Ребро;6;;;;
11;4508-АТК ОРГ2-159;d26,8x2,8x87;1;0,14;Патрубок;26,8;;;;
12;4508-АТК ОРГ2-159;d16x350;1;0,55;Шпилька;16;;;;
13;4508-АТК ОРГ2-159;40x8x8;1;0,02;Упор;8;;;;
14;4508-АТК ОРГ2-159;;;0,033;Болт;—;;;Болт М8х70 ГОСТ 7798-70;2
15;4508-АТК ОРГ2-159;;;0,006;Гайка;—;;;Гайка М8 ГОСТ 5915-70;2
16;4508-АТК ОРГ2-159;;;0,009;Шайба;—;;;Шайба стопорная;1
17;4508-АТК ОРГ2-159;;;0,038;Гайка;—;;;Гайка М16.58 ГОСТ 5915-70;3

1;4508-АТК ОРГ2-219;470x340x10;1;12,46;Плита опорная;10;;;;
2;4508-АТК ОРГ2-219;70x70x8;4;0,04;Плитка;8;;;;
3;4508-АТК ОРГ2-219;ШВ24x140;2;2,75;Швеллер;140;;;;
4;4508-АТК ОРГ2-219;220x57x10;1;0,92;Ребро;10;;;;
5;4508-АТК ОРГ2-219;260x145x10;2;2,94;Пластина;10;;;;
6;4508-АТК ОРГ2-219;260x86x10;2;1,74;Пластина;10;;;;
7;4508-АТК ОРГ2-219;d16x260;2;0,41;Пруток;16;;;;
8;4508-АТК ОРГ2-219;300x250x10;1;5,85;Подушка;10;;;;
9;4508-АТК ОРГ2-219;340x250x4;1;0,75;Прокладка (фторопласт);4;;;;
10;4508-АТК ОРГ2-219;220x57x10;1;0,92;Ребро;10;;;;
11;4508-АТК ОРГ2-219;d26,8x2,8x87;1;0,14;Патрубок;26,8;;;;
12;4508-АТК ОРГ2-219;d16x90;2;0,06;Шпилька;16;;;;
13;4508-АТК ОРГ2-219;40x8x8;1;0,02;Упор;8;;;;
14;4508-АТК ОРГ2-219;;;0,027;Болт;—;;;Болт М8х65 ГОСТ 7798-70;2
15;4508-АТК ОРГ2-219;;;0,006;Гайка;—;;;Гайка М8 ГОСТ 5915-70;2
16;4508-АТК ОРГ2-219;;;0,009;Шайба;—;;;Шайба стопорная;3
17;4508-АТК ОРГ2-219;;;0,038;Гайка;—;;;Гайка М16.58 ГОСТ 5915-70;3

1;4508-АТК ОРГ3-720;700x340x10;1;18,54;Плита скольжения;10;;;;
2;4508-АТК ОРГ3-720;70x10x8;4;0,04;Упор;8;;;;
3;4508-АТК ОРГ3-720;ШВ24x190;2;3,84;Швеллер;190;;;;
4;4508-АТК ОРГ3-720;225x76x8;1;0,99;Стенка;8;;;;
5;4508-АТК ОРГ3-720;260x196x10;2;3,98;Направляющая;10;;;;
6;4508-АТК ОРГ3-720;260x220x10;2;4,46;Плита;10;;;;
7;4508-АТК ОРГ3-720;260x59x10;2;1,12;Пластина;10;;;;
8;4508-АТК ОРГ3-720;796x300x10;1;18,63;Подушка;10;;;;
9;4508-АТК ОРГ3-720;225x76x8;1;0,98;Прокладка (Целон);8;;;;
10;4508-АТК ОРГ3-720;225x76x8;1;0,98;Стенка;8;;;;
11;4508-АТК ОРГ3-720;d33,5x2,8x76;1;0,2;Патрубок;33,5;;;;
12;4508-АТК ОРГ3-720;d24x840;2;2,96;Шпилька;24;;;;
13;4508-АТК ОРГ3-720;30x10x10;1;0,02;Упор;10;;;;
14;4508-АТК ОРГ3-720;;;0,112;Болт;—;;;Болт М12х100.58 ГОСТ 7798-70;2
15;4508-АТК ОРГ3-720;;;0,018;Гайка;—;;;Гайка М12.5 ГОСТ 5915-70;2
16;4508-АТК ОРГ3-720;;;0,025;Шайба;—;;;Шайба стопорная;1
17;4508-АТК ОРГ3-720;;;0,123;Гайка;—;;;Гайка М24.5 ГОСТ 5915-70;3

1;530-12 108.275.30-80;490x275x8;1;8,41;Основание;8;;;;
2;530-12 108.275.30-80;695x240x8;2;8,34;Угольник;8;;;;
3;530-12 108.275.30-80;663x275x10;1;14,21;Подушка;10;;;;
4;530-12 108.275.30-80;292x80x8;4;1,29;Проушина;8;;;;
5;530-12 108.275.30-80;;;5,12;Хомут;—;М24х1450;2;;
6;530-12 108.275.30-80;;;0,123;Гайка;—;;;Гайка М24 ГОСТ 5915-70;8

1;720-14_108.275.30;660x330x10;1;16,99;Основание;10;;;;
2;720-14_108.275.30;910x295x10;2;16,32;Угольник;10;;;;
3;720-14_108.275.30;555x100x10;4;3,93;Проушина;10;;;;
4;720-14_108.275.30;910x330x13;1;30,45;Подушка;13;;;;
5;720-14_108.275.30;;;11,47;Хомут;—;М30х2080;2;;
6;720-14_108.275.30;;;0,24;Гайка;—;;;Гайка М30 ГОСТ 5915-70;8
7;720-14_108.275.30;;;0,05;Шайба;—;;;Шайба 16 ГОСТ 11371-78;4
